identifier,http_code,type,properties_type,subject,othersubject,references,abstract,downloadableData,IPA
p_ag:25e2b419-1866-49c9-a44d-aa2ec18ef8f9,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,siti protetti,http://www.provincia.agrigento.sitr.it/ArcGIS/services/SIC_ZPS/MapServer/WMSServer,"Siti di importanza comunitaria presenti sul territorio della Regione Sicilia, aggiornati al 2011. Il Sito di Importanza Comunitaria (SIC), è un concetto definito dalla Direttiva comunitaria n. 43 del 21 maggio 1992, (92/43/CEE), nota anche come Direttiva ""Habitat"", e recepita in Italia nel 1997. La Direttiva è relativa alla conservazione degli habitat naturali e seminaturali e della flora e della fauna selvatiche. 
Le zone di protezione speciale (ZPS), in Italia, ai sensi dell'art. 1 comma 5 della Legge n° 157/1992 sono zone di protezione scelte lungo le rotte di migrazione dell'avifauna, finalizzate al mantenimento ed alla sistemazione di idonei habitat per la conservazione e gestione delle popolazioni di uccelli selvatici migratori. La tabella associata contiene una serie di informazioni tra cui codice, denominazione, superficie, perimetro e Regione di appartenenza di ciascuna zona.",0,p_ag
p_ag:735ef0b6-8ec8-49e2-903a-a882ceb9028b,404,Feature,"4:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities,OGC:WFS-1.1.0-http-get-capabilities",infoMapAccessService,"vincoli,idrogeologico,forestale",http://www.provincia.agrigento.sitr.it/ArcGIS/services/RD3267idrogeol/MapServer/WMSServer,"Poligoni: trascrizione vettoriale della cartografia riportante il ""VINCOLO DI TERRENI PER SCOPI IDROGEOLOGICI A NORMA DELL'ART. 1 TITOLO 1, CAPO 1 DEL R. DECRETO 30 DICEMBRE 1923 N. 3267"" dei Comuni della Provincia di Agrigento.",0,p_ag
p_ag:a179204e-d96c-4a6f-8a12-5d7e00697c4a,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"toponimi,toponomastica,contrade,testi,nomi",http://www.provincia.agrigento.sitr.it/ArcGIS/services/toponimi/MapServer/WMSServer,"Tutti i toponimi presenti sulla cartografia I.G.M. a scala 1:25.000 serie 25/V (tavolette) della Provincia di Agrigento 
Scala nominale: 1:25000
Attributi significativi:
- TOPO :  toponimo
- SCNO : eventuale secondo nome
- FACC : codice primario tratto dal FACC del DIGEST
- ATTR : attributi (max 4)
- TAVO : nome della tavoletta a cui appartiene il toponimo
- EDIZ  : edizione della tavoletta
- NSER : numero serie della tavoletta
- DATA : anno produzione della tavoletta
- ESTP/NORP  : Coordinata Est/Nord del toponimo 
- ESTL/NORL : Coordinate Lower Left/Upper right del rettangolo minimo entro cui è contenuto l’oggetto a cui il toponimo si riferisce",0,p_ag
p_ag:a6b5cbfb-e336-466a-a63e-7b43282e358a,404,Feature,"4:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities,OGC:WFS-1.1.0-http-get-capabilities",infoMapAccessService,"protezione ambiente,uccelli,LIPU,IBA",http://www.provincia.agrigento.sitr.it/ArcGIS/services/ImpBirdAreas/MapServer/WMSServer,"Le IBA (Important Bird Area, aree importanti per gli uccelli) sono luoghi che sono stati identificati in tutto il mondo, sulla base di criteri omogenei, dalle varie associazioni che fanno parte di BirdLife International (una rete che raggruppa numerose associazioni ambientaliste dedicate alla conservazione degli uccelli in tutto il mondo). In Italia il progetto IBA è curato dalla LIPU. 
Una zona viene individuata come IBA se ospita percentuali significative di popolazioni di specie rare o minacciate oppure se ospita eccezionali concentrazioni di uccelli di altre specie.",0,p_ag
p_ag:afacfc50-8595-4239-8565-f0383fa0963a,404,Feature,"4:liveData,ESRI:MAP-1.0-rest-get-open,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"cartografia di base,mappe base,ortofoto",http://www.provincia.agrigento.sitr.it/ArcGIS/services/Ortofoto1994_BN/MapServer/WMSServer,"raster - Ortofoto in bianco e nero edizione 1994, risoluzione al suolo 1.8 m. Data volo: 1992. Fonte: Assessorato regionale BB.CC.AA. copertura: Provincia di Agrigento",0,p_ag
p_ag:d16b72eb-b846-4987-a593-49e8360dc341,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"cartografia di base,mappe base,cartografia storica",http://www.provincia.agrigento.sitr.it/ArcGIS/services/CTR5Kcasmez/MapServer/WMSServer,Raster - Carta Tecnica dell'Italia Meridionale (post-terremoto Valle del Belice) scala 1:5000 - lotto edizione 1979-1980 - volo 1975-1976,0,p_ag
p_ag:f47180a8-58b8-4cf4-b44e-0364c3d41744,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"CTR,cartografia di base,mappa base,cartografia storica",http://www.provincia.agrigento.sitr.it/ArcGIS/services/CTR_ediz94/MapServer/WMSServer,"Trascrizione raster della Carta Tecnica Regionale scala 1:10000 - lotto edizione 1994 - 
ripresa aerea anno 1992 
esecuzione: C.G.R.A. - Compagnia generale ripreseaeree S.p.A. - Parma
Dati tecnici:
scala nominale 1:10000
formato: geotiff (tif+tfw)
risoluzione geometrica pixel: 0.57 metri (valore medio approssimato tra i vari raster)
bande: 1
risoluzione radiometrica: 1 bit (B/N)",0,p_ag
p_ag:fe29eacb-c32a-424d-87e4-3d54ed07a5df,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"CTR,cartografia di base,mappa base,cartografia storica",http://www.provincia.agrigento.sitr.it/ArcGIS/services/CTR_ediz81/MapServer/WMSServer,"Trascrizione raster della Carta Tecnica Regionale scala 1:10000 - lotto edizione 1981 
ripresa aerea anno 1977 
esecuzione: S.A.S. - Società Aerofotogrammetrica Siciliana s.r.l. Palermo
Dati tecnici:
scala nominale 1:10000
formato: geotiff (tif+tfw)
risoluzione geometrica pixel: 0.55 metri  (valore medio approssimato tra i vari raster)
bande: 1
risoluzione radiometrica: 1 bit (B/N)",0,p_ag
p_cl:0032e895-99d1-4414-a260-9a4f1189c200,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"rete,viaria,viabilità",http://www.provincia.caltanissetta.sitr.it/ArcGIS/services/Viabilita/MapServer/WMSServer,Il servizio fornisce informazioni sulla transitabilità della rete viaria provinciale di Caltanissetta,0,p_cl
p_cl:d678a6de-e136-4887-8e85-aa2002cbf689,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"Patrimonio,immobili",http://www.provincia.caltanissetta.sitr.it/ArcGIS/services/Immobili/MapServer/WMSServer,"Il servizio da informazioni sul patrimonio immobiliare della Provincia Regionale di Caltanissetta ora Libero Consorzio Comunale di Caltanissetta (L.R. 8/14). le informazioni riguardano il nome, l'uso (scuola ufficio, casa cantoniera ....) ed infine può essere visualizzato lo stralcio catastale in pdf",0,p_cl
p_en:0199ab93-2a84-4484-a7b6-b0d8d573592b,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Rilievo 3D,http://www.provincia.enna.sitr.it/ArcGIS/services/Rilievo_tridimensionale/MapServer/WMSServer,Rilievo tridimensionale della Provincia di Enna,0,p_en
p_en:025040aa-3fa6-41e9-8ed3-74f528c594e7,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Piano di Gestione - Valle del Fiume Imera Meridionale ( Contrada Caprara - Serre di Monte Cannarella - Monte Capodarso e Valle dell'Imera Meridionale - Torrente Vaccarizzo ( tratto terminale),http://www.provincia.enna.sitr.it/ArcGIS/services/PDG/PDG_Imera_Merid/MapServer/WMSServer,"Contiene il Piano di Gestione “Valle del Fiume Imera Meridionale” che interessa i siti Natura 2000 denominati ITA 060011 “Contrada Caprara”, ITA 050002 “Torrente Vaccarizzo (tratto terminale)”, ITA 060013 “Serre di M. Cannarella”, ITA 050004 “Monte Capodarso e Valle del Fiume Imera Meridionale” - Province di Enna e Caltanissetta",0,p_en
p_en:0332366f-3408-4602-8894-c3c710753d77,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Quadro d'unione IGM 1:25.000,http://www.provincia.enna.sitr.it/ArcGIS/services/Quadro_Unione_25000_EN/MapServer/WMSServer,Contiene il quadro d'unione della Cartografia I.G.M. della Provincia di Enna in scala 1:25.000,0,p_en
p_en:040b441c-e8fe-4d31-847c-d0ebcdb0ee5d,500,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,Pendolarismo Provincia Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/Flussi_pendolarismo_OD_Comuni_EN/MapServer/WMSServer,"Contiene la visualizzazione dei flussi del pendolarismo (Origine - Destinazione) dei Comuni della Provincia di Enna e le altre località interessate

fonti: ISTAT - Censimento generale della popolazione 2011",0,p_en
p_en:0450c77e-d4d0-4bf3-af8a-6fe60b44b7dc,500,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,DTM,http://www.provincia.enna.sitr.it/ArcGIS/services/DTM/MapServer/WMSServer,Contiene la visualizzazione del Modello Digitale del Terreno (DTM) della Provincia di Enna,0,p_en
p_en:067769e7-59b0-4d39-980f-ebbe241a16a8,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"Aree percorse dal fuoco,Incendi",http://www.provincia.enna.sitr.it/ArcGIS/services/AREE_PERCORSE_DAL_FUOCO/MapServer/WMSServer,Contiene le aree percorse dal fuoco nel territorio provinciale di Enna (dal 2007 al 2012),0,p_en
p_en:0aff6cc1-116c-4f35-af9f-d4b9b458793f,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Farmacie della Provincia di Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/FARMACIE_EN_2013_01_21/MapServer/WMSServer,Contiene la localizzazione delle farmacie della Provincia di Enna,0,p_en
p_en:0de662f3-2bea-42ac-9329-979480f7a26b,500,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,Luoghi di spettacolo,http://www.provincia.enna.sitr.it/ArcGIS/services/Autolinee_Urbane_Provincia_Enna/MapServer/WMSServer,Contiene l'individuazione della rete dei percorsi  e la localizzazione delle fermate delle autolinee urbane dei Comuni della Provincia di Enna che svolgono il servizio con il relativo orario,0,p_en
p_en:19673e78-4689-4da6-a95a-4c0991f4cb25,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Vincoli sistema antropico-ambientale Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/VINCOLI_SISTEMA_ANTROPICO_AMBIENTALE_EN/MapServer/WMSServer,Contiene la localizzazione della vincolistica della Provincia di Enna articolata per tipologia di vincolo,0,p_en
p_en:1cd8c624-d8bc-4314-b6df-c28671373b6e,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Quadro d'unione CTR 1:100.000,http://www.provincia.enna.sitr.it/ArcGIS/services/Quadro_Unione_100000_EN/MapServer/WMSServer,Contiene il quadro d'unione dell'I.G.M. della Provincia di Enna in scala 1:100.000,0,p_en
p_en:1d2aa4db-344e-46b6-b290-e93263efc826,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Intervisibilità territorio provinciale di Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/Intervisibilita/MapServer/WMSServer,"Contiene la visualizzazione dell'intervisibilità territoriale di Enna sulla base degli elementi sommitali ( monti, cime, pizzo, collina)  presenti nel territorio e l'individuazione dei bacini e distretti visivi.",0,p_en
p_en:24f2e588-cfc9-4264-a1cd-839a1df802c5,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Tessuto Produttivo Provincia Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/TESSUTO_PRODUTTIVO_EN/MapServer/WMSServer,"Contiene la localizzazione delle aree produttive (industriali, artigianali e miste) della Provincia di Enna all'interno dei Sistemi Locali del Lavoro (S.L.L.)",0,p_en
p_en:39622c4d-7989-46f1-a1b8-5e59bc9d78dd,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,pericolosità geologica,http://93.104.208.146:6080/arcgis/services/Prov_EN/Pericolosita_Geologiche/MapServer/WMSServer,"Contiene la carta delle pericolosità geologiche del territorio della Provincia di Enna 
Fonte del dato:  Studio tecnico geologico allegato al P.T.P. della Provincia di Enna 
Autori: A.T.P. Geol. Orazio Barbagallo (capogruppo) - Land Engineering s.c. - Geol. Marco Corrao 
Enna, 2015",0,p_en
p_en:3ae11899-0f7c-4893-92b8-3ff233e59644,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Geomorfologia,http://93.104.208.146:6080/arcgis/services/Prov_EN/Geomorfologia/MapServer/WMSServer,"Contiene la carta geomorfologica del territorio della Provincia di Enna 
Fonte del dato:  Studio tecnico geologico allegato al P.T.P. della Provincia di Enna 
Autori: A.T.P. Geol Orazio Barbagallo (capogruppo) - Land Engineering s.c. - Geol. Marco Corrao 
Enna, 2015",0,p_en
p_en:3c954a9c-2002-48fb-a8de-c02cf284c08c,500,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,Piano di gestione SIC Residui boschivi e zone umide dell'ennese-palermitano,http://www.provincia.enna.sitr.it/ArcGIS/services/PDG/PDG_BoschiResidui/MapServer/WMSServer,Contiene il Piano di Gestione Residui boschivi dell'ennese-palermitano: SIC Cod. ITA 060009 Bosco di Sperlinga-Alto Salso (Sperlinga-Nicosia) in Provincia di Enna; SIC Cod. ITA 060004 Monte Altesina (Leonforte-Nicosia-Calascibetta) in Provincia di Enna; SIC Cod. ITA 020040 Monte Zimmara (Gangi) in Provincia di Palermo; SIC Cod. ITA 020041 Monte San Calogero (Gangi) in Provincia di Palermo;,0,p_en
p_en:448acf16-7518-4d80-bba2-ee2828dd29a3,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Geomorfologia,http://93.104.208.146:6080/arcgis/services/Prov_EN/CartaGeologica_ProvEN/MapServer/WMSServer,"Contiene la carta geologica del territorio della Provincia di Enna 
Fonte del dato:  Studio tecnico geologico allegato al P.T.P. della Provincia di Enna 
Autori: A.T.P. Geol Orazio Barbagallo (capogruppo) - Land Engineering s.c. - Geol. Marco Corrao 
Enna, 2015",0,p_en
p_en:57ee0702-c375-4e77-82cb-eeb15b021863,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Prodotti tipici,http://www.provincia.enna.sitr.it/ArcGIS/services/PRODOTTI_TIPICI_EN/MapServer/WMSServer,Contiene l'individuazione dei prodotti tipici della Provincia di Enna (DOP - IGP - IGT) per area produttiva comunale,0,p_en
p_en:61766991-bfe3-4b81-934f-dbbfd50a6f48,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,rete ferroviaria Provincia di Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/RETE_FERROVIARIA_PROVINCIALE/MapServer/WMSServer,Rete Ferroviaria della Provincia di Enna,0,p_en
p_en:62591b37-cebb-4ab0-bf03-397343cab069,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Tipi di Paesaggio,http://www.provincia.enna.sitr.it/ArcGIS/services/CARTA_NATURA_TIPO_PAESAGGI/MapServer/WMSServer,Contiene l'individuazione dei tipi di paesaggio,0,p_en
p_en:6aa3fe1c-ae94-440b-b017-284b8a5b808f,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Reticolo Idrografico,http://www.provincia.enna.sitr.it/ArcGIS/services/RETICOLO_IDROGRAFICO_ENNA/MapServer/WMSServer,"Contiene il reticolo idrografico della Provincia di Enna comprensivo dei bacini idrografici, dei laghi naturali ed artificiali",0,p_en
p_en:6bcd424b-d58d-4438-b13b-a2e0f9c816b7,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,trazzere Provincia di Enna,http://www.provincia.enna.sitr.it/ArcGIS/services/RETE_TRAZZERALE_PROV/MapServer/WMSServer,Rete Trazzerale della Provincia di Enna,0,p_en
p_en:6c3380a3-82b8-4de1-a698-152719fe932c,500,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,Piano di Gestione Vallone Piano della Corte,http://www.provincia.enna.sitr.it/ArcGIS/services/PDG/PDG_Vallone/MapServer/WMSServer,Contiene il Piano di Gestione del SIC Vallone Piano della Corte in Provincia di Enna - Cod. ITA 060007,0,p_en
p_en:6ee21955-320b-4797-be8e-cbd1de4299a1,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"Patrimonio Archeologico,Storico ed Architettonico",http://www.provincia.enna.sitr.it/ArcGIS/services/PATRIMONIO_ARCHEOLOGICO_STORICO_ARCHITETTONICO_EN/MapServer/WMSServer,"Contiene la localizzazione delle componenti del Patrimonio Archeologico, Storico ed Architettonico della Provincia di Enna",0,p_en
p_en:6f2e5533-c78f-45c7-8a94-3e7a591c16b9,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Limiti amministrativi comunali,http://www.provincia.enna.sitr.it/ArcGIS/services/LIMITI_AMMINISTRATIVI/MapServer/WMSServer,Contiene l'individuazione dei Comuni della Provincia di Enna,0,p_en
p_en:711a4030-2752-40cc-908e-75018da96f1a,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Piano di Gestione - Invasi artificiali Ogliastro,http://www.provincia.enna.sitr.it/ArcGIS/services/PDG/PDG_Ogliastro/MapServer/WMSServer,Contiene il Piano di Gestione degli Invasi artificiali Ogliastro - Provincia di Enna,0,p_en
p_en:71380bff-57c9-478d-8c6f-d42b758bc213,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Quadro d'unione CTR 1:10.000,http://www.provincia.enna.sitr.it/ArcGIS/services/Quadro_Unione_10000_EN/MapServer/WMSServer,Contiene il quadro d'unione della C.T.R. della Provincia di Enna in scala 1:10.000,0,p_en
p_en:734c7ad8-346e-4214-b7f6-c714fa5146c9,500,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,Bonifica,http://www.provincia.enna.sitr.it/ArcGIS/services/CONSORZI_DI_BONIFICA_EN/MapServer/WMSServer,"Contiene l'individuazione dei limiti amministrativi dei Consorzi di bonifica del territorio della Provincia di Enna  (Consorzio di bonifica n. 6 di Enna - Consorzio di bonifica n. 7 di Caltagirone  - Consorzio di bonifica n. 9 di Catania) 
Fonte del dato:  Elaborazione del Nodo provinciale del S.I.T.R. su dati cartografici prelevati dal sito dell'Associazione  Siciliana dei Consorzi ed Enti di Bonifica e di Miglioramento Fondiario:  http://www.ascebem.it",0,p_en
p_en:7c34e81d-3e47-4909-bd73-f95b2eda358a,000,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,suscettibilità geologica,http://93.104.208.146:6080/arcgis/services/Prov_EN/Suscettibilita/MapServer/WMSServer,"Contiene la carta delle suscettibilità geologiche del territorio della Provincia di Enna 
Fonte del dato:  Studio tecnico geologico allegato al P.T.P. della Provincia di Enna 
Autori: A.T.P. Geol. Orazio Barbagallo (capogruppo) - Land Engineering s.c. - Geol. Marco Corrao 
Enna, 2015",0,p_en
